,c1,t1,c2,c3,c4,c5,c6,t2,t3,t4,t5,t6
Gpd1l,1813.0095,1887.00647,1800.00392,1996.0037,1434.9985,1283.00022,1482.0028,1563.99886,1820.99746,1704.67666,1302.001,1410.99832
Gpd2,4591.9958,3246.99641,5853.999,4362.983,7282.0043,7221.0017,5692.42912,3956.000063,4919,4902.00264,3759.114485,4854
Gper1,49,46.99998,68,55,50,25,33.99999,15.00002,47,21.999977,28,55
Gpha2,0,0,0,0,0,0,0,0,0,1,1,1
Gphb5,0,0,0,0,0,0,0,0,0,0,0,0
Gphn,1036.99986,1053.7366,912.5976,923,858.9996,638.9995,915.9996,913.9997,1044.9994,889.6446,847.99984,768.2058
Gpi-ps,7.07422,3.03508,2.02673,2.03263,5.08474,3.05193,3.04836,4.05146,1.01044,1.0145,6.11901,2.03849
Gpi1,20107.77305,19088.61576,19340.54319,17618.4992,22473.28028,20822.94018,21906.28517,18400.38684,20482.59204,18558.04043,23114.40054,20965.79192
Gpihbp1,0,0,0,0,0,0,0,0,0,0,0,0
Gpkow,639.99961,620.9999,582.0003,658.00019,576.00022,584.99968,599.0001,700.9999,647.0004,689.00019,642.0004,544.00006
Gpld1,715.7188,719.3,587.524,602.35244,531.35648,325.02,552.59166,579.366,654.058,554.015,548.386,459.637
Gpm6a,3,2,1,0,1,1,1,3,6,0,1,0
Gpm6b,4,6,5,4.999999,8,7,2,8,4,2.9999967,0,7
Gpn1,239.127528,332.58569,245.759569,347.87113,234.325814,145.09308,207.89405,323.04675,338.6932799,331.41233,342.24683,321.10237
Gpn2,214.9995,310.9999,279.99957,373.99956,338.00041,291.00002,241.99988,266.9999,371.9998,371.00029,332.0002,417.0004
Gpn3,302.7229,376.87226,289.28415,359.046,304.13483,285.17602,282.55858,359.60815,313.178753,314.38036,337.55002,312.66515
Gpnmb,0,1.00842,0,0,0,0,4.02163,2.0312,1.00271,3.00757,1.01282,0
Gpr101,0,0,0,0,0,0,0,0,0,0,0,0
Gpr107,1324.36021,1065.1394,1373.6778,1076.54128,1958.09036,1989.93145,1671.73879,1202.08546,1322.939422,1386.93896,1328.507374,1500.9948
Gpr108,1324.9994,1443.00046,1156.9999,1307.00004,1140.00047,829.00008,1212.99991,1135.0003,1345.99969,1161.00017,1235.0001,1105.99965
Gpr119,18,6,4,2,4,8,3,7,2,5,6,5
Gpr12,0,0,0,0,0,0,0,0,0,0,0,0
Gpr132,9.000003,3,8,5,3,6,2,6,5,6,2,3
Gpr135,9.67443,11,5.86419,4.42123,6.65478,3,6.42435,12.6621,5,4.46435,5,5.82546
Gpr137,330.27453,377.73135,409.00024,319.462,659.6078055,519.43419,363.48063,285.99983,398.60724,354.10255,403.58039,584.99942
Gpr137b,18.47166,13.88644,10.4614,11.60309,16.16609,9.94722,19.06177,8.53728,15.3204,7.61594,14.52239,11.02178002
Gpr137b-ps,4.39563,1.13225,0.668659,0.853001,2.98994,11.5236,9.89711,13.5543,3.9575e-07,0.57665,4.09812,2.40115
Gpr137c,19,12.999997,10,15,8.000002,4,15.999993,7.000001,10.0000022,13.000004,15.99999,6
