"","Symbol","D:/W/P/China/KYS/Kallisto quant on collection 766 and collection 805_ Abundances (tabular)/SRR9652879.tabular","D:/W/P/China/KYS/Kallisto quant on collection 766 and collection 805_ Abundances (tabular)/SRR9652880.tabular","D:/W/P/China/KYS/Kallisto quant on collection 766 and collection 805_ Abundances (tabular)/SRR9652881.tabular","D:/W/P/China/KYS/Kallisto quant on collection 766 and collection 805_ Abundances (tabular)/SRR9652882.tabular","D:/W/P/China/KYS/Kallisto quant on collection 766 and collection 805_ Abundances (tabular)/SRR9652883.tabular","D:/W/P/China/KYS/Kallisto quant on collection 766 and collection 805_ Abundances (tabular)/SRR9652884.tabular","D:/W/P/China/KYS/Kallisto quant on collection 766 and collection 805_ Abundances (tabular)/SRR9652885.tabular","D:/W/P/China/KYS/Kallisto quant on collection 766 and collection 805_ Abundances (tabular)/SRR9652886.tabular","D:/W/P/China/KYS/Kallisto quant on collection 766 and collection 805_ Abundances (tabular)/SRR9652887.tabular","D:/W/P/China/KYS/Kallisto quant on collection 766 and collection 805_ Abundances (tabular)/SRR9652888.tabular","D:/W/P/China/KYS/Kallisto quant on collection 766 and collection 805_ Abundances (tabular)/SRR9652889.tabular","D:/W/P/China/KYS/Kallisto quant on collection 766 and collection 805_ Abundances (tabular)/SRR9652890.tabular","D:/W/P/China/KYS/Kallisto quant on collection 766 and collection 805_ Abundances (tabular)/SRR9652891.tabular"
"53006","Tln2",11.362884,21.11898,18.00004,70.99993,34.09905,24.847148,14.000476,7.080831,23.20542857,11.21949,8.14449,11.498029,40.17524
"53007","Tlnrd1",1013,1171,1126,1325,1247,1036,1053,974,835,1266,993,1051,973
"53008","Tlr1",31.9664,36.9399,38.9151,110.6501,144.04402,75.85541,45,67,49,135.23837,36.91191,18.877104,95.8744
"53009","Tlr11",0,0,1,0,1,1,0,0,0,0,0,2,0
"53010","Tlr12",3.999998,5,5,8,3,4,4,6,3,1,7,8,2
"53011","Tlr13",2,0,3,0,1,1,2,1,0,1,3,2,0
"53012","Tlr2",5,2,2,7,23,12,8,4,6,4,2,3,11
"53013","Tlr3",661.99984,457.99932,750.238569,750.82963,829.00055,691.61188,788.70364,410.99999,630.000438,693.99992,500.96055,701.9998,904.88691
"53014","Tlr4",6,4.256828,2,1,4,11.61078,1,3,3,2,1,0,3
"53015","Tlr5",8,24.99998,7,6,1,12,3.00000295,21,24.00001,16,18.99998,14.00005,18
"53016","Tlr6",1.03357,5.06014,3.0849,5.35035,2.044015,6.14458,3,1,2,1.01157,1.03133,2,2.04982
"53017","Tlr7",0,0,1,3,0,0,0,0,0,0,0,0,0
"53018","Tlr8",0,0,0,0,0,1,0,0,0,0,0,0,0
"53019","Tlr9",1,3,1,0,0,2,0,0,0,0,0,1,0
"53020","Tlx1",0,0,0,0,0,0,0,0,0,0,0,0,0
"53021","Tlx1os",0,0,0,0,0,0,0,0,0,0,0,0,0
"53022","Tlx2",0,0,1,0,0,0,0,0,0,0,0,0,0
"53023","Tlx3",0,0,0,0,0,0,0,0,0,0,0,0,0
"53024","Tm2d1",326.9449,229,224.99985,322.9569,391,333,285.921,295.00028,268,284.99957,253.99975,283.00035,271.99957
"53025","Tm2d2",524.00022,552.00045,597,551,650,735.99991,510,523.00019,462.9997,510,550,557.00049,570
"53026","Tm2d3",153.9998,199.00005,199.00035,205.00018,220.00014,279.99965,178.99997,146.999837,178.99966,164.00037,172.00036,198.000256,213.0005
"53027","Tm4sf1",0,0,0,0,3,3.001079,1.00112,4.00426,0,0,1.00051,3.08008,3.00139
"53028","Tm4sf19",1,4,2,1,1,0,2,0,1,0,1,0,0
"53029","Tm4sf20",16298.98,7168,12146.03,22162.96,30706,12748.99,15056.04,14204.98,7886,18296.01,14533,8737,10412
"53030","Tm4sf4",1457,860,1667,1634,2279,1204,1547,783,895,888,1004,1042,948
"53031","Tm4sf5",12594.96272,17463.0268,14288.00462,13584.02116,19035.03703,13327.04535,12452.97932,17612.01226,15184.952,18709.9774,17731.9657,19827.0246,11836.9774
"53032","Tm6sf1",3.07216,6.177455,3.0091,1.00412,6.261699,5.012569,8.75936008989,1,1.929068,6.50982,3.609781,3.02618,3.66579
"53033","Tm6sf2",10097.99871,9829.99655,9678.00147,9234.9952,10973.9793,11303.04967,10108.00153,11482.03019,8768.00305,10770.02685,10207.9952,10563.0041,10023.9965
"53034","Tm7sf2",239.16233,235.12164,324.55635,381.28715,395.5855,416.79148,294.39012247373,270.71285,263.092197,346.07124224,607.12221,340.784638464,296.67825
"53035","Tm7sf3",1210.8738,1197.99775010113,1138,1265,1253,1422.99544,1253,1613.00346,1208,1408,1292,1310.00199,1525.99611
"53036","Tm9sf1",1840.07136,1732.96520434,1820.90088,2217.04793,2149.5312,1970.15663,1805.9387,1852.21087,1723.26343,2059.5968735285,1790.30257,1909.62203,1898.38277
"53037","Tm9sf2",8459,7607.99743,7066.0041,8896.99668,9168.00099,8038,8712.00008,10181.00809,7386.0044,8612.9953,7808.99574,9817,8291
"53038","Tm9sf3",4611.998,4247.998,4423.999,5736.998,5659.001,5148.002,4251.997,4221.004,4511.003,4305.004,4275.996,5326.003,5247.998
"53039","Tm9sf4",1060.99542,1203.99577,1228.99992,1444.99599,1175.99659,1267.00272,1148.00394,1280.0047,1182.0037,1494.99717,1223.99972,1257.00177,1403.99949
"53040","Tm9sf5",0,0,0,0,0,0,0,0,0,0,0,0,0
"53041","Tma16",18.06816,26.41287,31.15735,54.64247,37.9694,21.3423,20.03364,20.341116,26.26229,22.43035,21.03645,32.34479,26.98881
"53042","Tma7",1825,1671.999,1983.001,1889,2313.99,2254.99886,1859.999,1732,1691,1585,1523,2207,1559.933
"53043","Tma7-ps",0,0,0,0,0,0,0,0,0,0,0,0,0
"53044","Tmbim1",4137.7031,3899.35233,3329.13461,4644.10652,5386.76657,3983.67116,4096.08296,5012.73188,3448.69359,5139.34612,4823.9223,3855.36965,4237.6665
"53045","Tmbim4",1314.06113,1134.00458,1169.9989,1352.0041927,2050.00254,1534.525977,1422.39350164786,1284.99648,1214.78254,1325.998311,1467.23973,1463.99797,1325.04844
"53046","Tmbim6",41966.01768,40186.97691,39987.01897,37180.98686,40637.01997,41264.97166,41209.02803,42714.97467,33915.03964,40446.96694,42402.04806,43076.00079,38017.04805
"53047","Tmbim7",0,0,0,0,0,0,0,0,0,0,0,0,0
"53048","Tmc1",1,1,0,1,0,3.111602,0,0,1,0,1,2,3
"53049","Tmc2",0,0,0,0,1.04779,0,0,0,0,1.01507,0,2.01608,0
"53050","Tmc3",1,0,0,0,0,1.774299,0,2.7158,5.35735,0.207332,0,2.44735,7.9469
"53051","Tmc4",5680.6613,5649.2252,5387.2335,6485.5654,7130.4363,5638.3631,5607.06772,6405.7251,4411.0889,6814.94218,6925.88986,5342.7508,5713.3857
"53052","Tmc4-ps",0,0,0,0,0,1,0,0,0,1,0,0,0
"53053","Tmc5",7372.8213,4886.69120001794,3868.3359,3393.1555,4702.04314,4172.1047,7270.1564,7543.3352,3292.5503,4892.2304,5669.1578,3658.1101122,4489.003895
"53054","Tmc6",827.00027,810.00039,827.99985,1038.99976,1262.00094,1048.99994,829.00018,819.99992,766.99951,897.99953,947.00009,1075.99975,1124.99978
"53055","Tmc7",848,576.00033,450,326.00026,258,340,944.99967,570,257,322,613,440,243
"53056","Tmc8",364.02343,378.09826,479.2161,411.94881,475.0004,403.41153,317.06689,351.838900010908,368.0002299,513.0646,356.7505,520.27934,379.57978
"53057","Tmcc1",1495.62633,1433.42301,1826.43865,1314.82091,1383.64654,2060.47331,1577.7138491,1061.70299,1162.81409,1227.7485209,1419.20819,1804.043653703,1559.62436
"53058","Tmcc2",1.999997,0,0,0,2.00121,2,1.04573,2,2,1,0,4,1
"53059","Tmcc3",2406.0016,2714.00437,1801.00399,1884.0014,1880.00134,1513.99891,2756.9954,2603.99958,1767.00286,2462.00128,2376.00253,1802.99533,1854.9992
"53060","Tmcc3os",1,1,1,0,0,1,3,0,2,0,3,0,1
"53061","Tmco1",673.993649,655.99125,768.02362,893.03581,928.01701,873.32686,720.0018,693.01143,662.0086,756.07648,640.05234,944.00192,742.05423
"53062","Tmco2",0,0,0,0,0,0,0,0,0,0,0,0,0
"53063","Tmco3",544.02648,502.98961,510.11121,763.94988,736.24751,612.00126,592.911051455,612.27253,469.94976,804.37141,678.91043,604.9492,653.00284
"53064","Tmco4",817.0005,750.9999,896.9998,1066.9998,1028.0008,974.99941,1009.9996,783.9995,751,869.0005,634.0003,815.0003,1067
"53065","Tmco5",0,0,0,0,0,0,0,0,0,0,0,0,0
"53066","Tmco5b",0,0,0,0,0,0,0,0,0,0,0,0,0
"53067","Tmco6",106.00004,93.99999,131.99947,120.00006,126.99947,146.99973,82.00001,103.00003,113.00007,122.99999,146.99989,137.99971,127.00005
"53068","Tmdd1",0,0,0,0,0,0,0,0,0,0,0,0,0
