,logFC,AveExpr,t,P.Value,adj.P.Val,B
R3hcc1l,0.01335664,3.677474282,0.179280463,0.860675572,0.931937862,-6.735521092
Trappc2l,0.028888764,3.959066866,0.17927514,0.860679661,0.931937862,-6.735522109
Gm12397,-0.069864482,0.251511809,-0.178964318,0.860918434,0.932126119,-6.735581406
Ago1,-0.019317111,5.055813984,-0.178680368,0.861136576,0.932292011,-6.735635487
Nudcd3,0.014294666,5.476458521,0.178510825,0.861266833,0.932362738,-6.735667737
Ssu72,-0.019037864,5.657352195,-0.178316306,0.861416282,0.93245423,-6.735704701
Hyls1,0.022659932,3.172930811,0.178168631,0.861529745,0.932506757,-6.735732737
Gm3435,-0.043890071,0.417404878,-0.177497145,0.862045708,0.932994902,-6.735859924
Rab7,0.014515015,7.472040105,0.177183284,0.862286898,0.933102106,-6.735919209
Ap1m2,-0.01171903,6.500379671,-0.177130485,0.862327473,0.933102106,-6.735929172
Gtf3c1,-0.016219896,6.255833196,-0.177051526,0.862388153,0.933102106,-6.735944066
Sirt5,-0.018679559,2.96432679,-0.177030026,0.862404676,0.933102106,-6.73594812
Tma7,-0.021733277,6.374144576,-0.176879479,0.862520374,0.933156979,-6.735976496
Mbnl3,0.045767695,3.715481124,0.176519606,0.862796957,0.933382307,-6.736044228
Gm4202,0.235772333,-4.572724634,0.176439345,0.862858644,0.933382307,-6.736059315
Mink1,-0.015737713,6.484192322,-0.176244196,0.863008637,0.933463441,-6.73609597
1600012H06Rik,0.014845038,4.777381434,0.176172615,0.863063657,0.933463441,-6.736109405
Pnldc1,0.040346495,-0.527674972,0.175949843,0.86323489,0.933578327,-6.736151183
Sypl2,0.037396071,3.452672594,0.175788105,0.863359215,0.933589091,-6.736181481
Tmco3,-0.019670677,4.313030235,-0.175740727,0.863395634,0.933589091,-6.736190351
Aplf,0.021529212,3.114525058,0.175614865,0.863492385,0.933589091,-6.736213904
Cdkn1b,-0.018122843,6.109511749,-0.175598589,0.863504896,0.933589091,-6.736216948
Myof,0.025292308,2.544926094,0.17548332,0.863593506,0.933614602,-6.736238502
Adcy5,0.029876663,0.10824625,0.175239527,0.863780922,0.933684387,-6.73628404
Pld3,0.010758779,4.414940816,0.175230194,0.863788098,0.933684387,-6.736285783
Myom1,0.057769732,-0.703659594,0.174926196,0.864021809,0.933837619,-6.736342476
Nfyc,-0.011227436,5.893344492,-0.174821065,0.864102636,0.933837619,-6.736362059
Samd5,0.041860798,1.933589764,0.174677481,0.86421303,0.933837619,-6.736388787
Zfp946,0.012874341,5.117318074,0.174541097,0.86431789,0.933837619,-6.736414154
Ndufa5,-0.024402701,5.966225145,-0.174519303,0.864334646,0.933837619,-6.736418205
Gm14327,-0.044890847,2.160583479,-0.17442116,0.864410107,0.933837619,-6.736436445
Palb2,-0.028497192,2.593364596,-0.174364817,0.864453429,0.933837619,-6.736446912
Zbtb7a,0.019186367,7.329802715,0.17413307,0.864631621,0.933837619,-6.736489927
Tmem79,-0.020860438,4.346143931,-0.174095153,0.864660777,0.933837619,-6.73649696
Rtca,-0.018706486,4.865688347,-0.17407185,0.864678696,0.933837619,-6.736501281
Spryd3,-0.024468567,4.195772007,-0.174037521,0.864705093,0.933837619,-6.736507646
Uqcc5,-0.022350806,2.350193078,-0.173996571,0.864736582,0.933837619,-6.736515237
Armcx5,0.015458698,2.129957907,0.173938289,0.864781397,0.933837619,-6.736526037
Rlf,0.014028216,4.469927255,0.173861708,0.864840286,0.933837619,-6.736540224
Ctnna1,-0.015482996,8.542480773,-0.173659535,0.864995753,0.933935264,-6.736577645
Araf,-0.010637749,5.859182428,-0.173527121,0.865097581,0.933972207,-6.736602131
Gm14023,0.047005892,-0.296041448,0.17344589,0.865160049,0.933972207,-6.736617143
Tor1a,0.029505938,5.149395761,0.172906512,0.865574867,0.934199068,-6.736716646
Adcy3,-0.040492892,-0.016757766,-0.172870892,0.865602262,0.934199068,-6.736723206
1500004A13Rik,0.023576793,2.52417916,0.172809004,0.865649862,0.934199068,-6.736734601
Taf7,0.026585699,2.963676619,0.172785447,0.86566798,0.934199068,-6.736738937
Cldnd1,0.01990036,6.059857465,0.172749701,0.865695473,0.934199068,-6.736745516
Upf3b,0.020177835,5.016867581,0.172659318,0.86576499,0.934203882,-6.736762144
Wdr11,0.012688848,5.784539495,0.172559928,0.865841436,0.934216171,-6.73678042
Ipo7,0.028499151,7.24662103,0.172009784,0.866264604,0.934565098,-6.736881389
Yme1l1,-0.01164099,6.727983986,-0.171897209,0.866351201,0.934565098,-6.736902011
Uba7,-0.040826729,5.059563713,-0.171885682,0.866360068,0.934565098,-6.736904121
Ggps1,-0.01233483,4.487082115,-0.171469405,0.866680303,0.934825514,-6.736980254
Tpcn1,-0.02291267,5.955837864,-0.171402626,0.866731678,0.934825514,-6.73699245
Elob,-0.016836095,6.551295723,-0.171127783,0.866943125,0.934983348,-6.737042595
Macir,0.023229879,5.044307357,0.170843404,0.867161921,0.935085686,-6.737094396
Edem1,0.017228878,6.356749712,0.170835177,0.867168251,0.935085686,-6.737095894
G530011O06Rik,-0.058716498,0.17924765,-0.170682547,0.867285687,0.935142098,-6.737123659
Gm48274,0.05022544,4.679297457,0.170595351,0.867352778,0.935144222,-6.73713951
Psmb9,0.032283959,4.74444398,0.170265096,0.867606896,0.935263343,-6.737199474
Ago3,0.024991365,4.089653759,0.170150888,0.867694777,0.935263343,-6.737220183
Lcn2,-0.249025214,-0.709793314,-0.170066721,0.867759544,0.935263343,-6.737235436
Edem3,-0.017169132,6.069393859,-0.169999694,0.867811122,0.935263343,-6.737247578
Zfp963,-0.016529921,2.171425243,-0.169991207,0.867817653,0.935263343,-6.737249115
Gm47233,-0.028317154,0.266004442,-0.16994392,0.867854042,0.935263343,-6.737257677
Pla2g15,0.02546824,1.058013995,0.169411823,0.868263526,0.935408648,-6.737353864
Tubgcp6,0.01553937,4.508607963,0.169410796,0.868264316,0.935408648,-6.737354049
Zfp72,0.021422272,1.821796533,0.169326239,0.868329392,0.935408648,-6.737369307
