"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"U2surp",0.104044447292229,6.31841348706965,0.920104851331051,0.375443254673132,0.59616768911553,-6.31624425694313,"U2surp"
"Slc29a3",-0.0831794239504382,3.6749561929716,-0.919981369469971,0.375505239308158,0.596200192559918,-6.31635756808861,"Slc29a3"
"Mogat2",-0.224820659269207,7.89990190236218,-0.919766356454299,0.375613187172018,0.596305657857323,-6.31655483983086,"Mogat2"
"Alyref2",0.145059399252282,1.80848852184734,0.919665430397411,0.37566386482104,0.596320190416155,-6.31664742442087,"Alyref2"
"Cox7a2l",-0.0620922476410186,7.53675770790306,-0.919471962689904,0.375761023393964,0.59636522088833,-6.31682487750838,"Cox7a2l"
"Msmo1",-0.235867602717139,6.8280346823536,-0.919443564886277,0.375775286109498,0.59636522088833,-6.3168509219082,"Msmo1"
"Ccnd3",0.127794570258166,4.95503465005253,0.918633325242383,0.376182385411749,0.596897816652152,-6.31759372061323,"Ccnd3"
"Sstr2",0.247592217070448,-0.177381304032496,0.918497456787394,0.376250681610909,0.596897816652152,-6.31771822429293,"Sstr2"
"Mapk8ip1",0.134468882050328,-0.21307883145941,0.918401862141909,0.376298738780265,0.596897816652152,-6.31780581330154,"Mapk8ip1"
"Cacna1c",0.27843140500467,-0.234363993347004,0.91837732975191,0.376311072348074,0.596897816652152,-6.31782828993408,"Cacna1c"
"Bbln",0.15398802675031,3.24247354873254,0.918362160655294,0.376318698695675,0.596897816652152,-6.31784218763473,"Bbln"
"Gm49971",-0.189106450168474,1.03006157219567,-0.918242158605161,0.376379034182967,0.596910999383,-6.31795212470295,"Gm49971"
"Stard3nl",-0.142606677731565,4.00935070217307,-0.9181338189575,0.376433511744252,0.596910999383,-6.31805136682024,"Stard3nl"
"Gnptab",-0.0937500273988077,5.32599513495786,-0.918097642370028,0.37645170401865,0.596910999383,-6.3180845033118,"Gnptab"
"Plekha1",-0.117798562072823,5.68780160157027,-0.916743041307622,0.377133338181033,0.597925797043256,-6.31932445447111,"Plekha1"
"Ckap5",0.142641621594344,6.00165855399188,0.916627544423515,0.377191495789668,0.597951989296327,-6.31943010242847,"Ckap5"
"Gon7",0.0858687455019482,2.52776305910789,0.916417773781608,0.377297140198647,0.598053447063219,-6.31962195543358,"Gon7"
"Bcl11b",-0.195200116384123,5.42518885415559,-0.916118773723829,0.377447757747119,0.598226161461912,-6.31989535035282,"Bcl11b"
"Gdpgp1",0.110762299925977,3.26838411823429,0.915932396484515,0.377541664091128,0.598308964689107,-6.32006572779395,"Gdpgp1"
"Gm28187",-0.193980398400693,-0.349186875862419,-0.915841431430223,0.377587502811825,0.598315582906391,-6.32014887289654,"Gm28187"
"Urm1",0.0889911411253523,4.56543033441136,0.915584242323848,0.377717125364763,0.598454946752356,-6.32038391352051,"Urm1"
"Ndufv3",0.0810859438336538,6.19410693790023,0.915285045093004,0.377867958780888,0.598627882631256,-6.32065727245077,"Ndufv3"
"Acox1",-0.163227971681017,8.55678218979276,-0.914760304604619,0.378132595662587,0.598922274414126,-6.32113650949794,"Acox1"
"Mob3b",-0.0940511221664631,5.03043217679702,-0.914749582225771,0.3781380045091,0.598922274414126,-6.32114629958377,"Mob3b"
"Cgrrf1",-0.148490230413613,3.92604012928906,-0.914627436894203,0.378199623858145,0.598922274414126,-6.32125781754187,"Cgrrf1"
"Spa17",-0.242869361232769,0.199671515955391,-0.914480015570202,0.378274003614796,0.598922274414126,-6.32139239509087,"Spa17"
"Gm12338",0.127403941129075,5.55006185073433,0.914469974849104,0.378279069916087,0.598922274414126,-6.32140156034923,"Gm12338"
"Ccdc38",0.24113258822335,-0.610363570656953,0.9144205395742,0.378304014428699,0.598922274414126,-6.32144668402655,"Ccdc38"
"Ulk1",-0.119062782205143,5.27267587122009,-0.914108612875114,0.378461435648602,0.59902759668195,-6.32173135650334,"Ulk1"
"Gm45769",-0.108821827413942,0.809236644425181,-0.91401704361874,0.378507656881244,0.59902759668195,-6.32181490897427,"Gm45769"
"Cpne8",-0.294112559074532,0.284288568401941,-0.914006590770974,0.378512933393698,0.59902759668195,-6.32182444622423,"Cpne8"
"Otud4",0.121566344087279,6.11739822239917,0.913958145668779,0.378537388753478,0.59902759668195,-6.32186864662947,"Otud4"
"Homez",0.0857552105255341,3.02508969275602,0.913760394285624,0.378637226136675,0.599119568592859,-6.32204905016647,"Homez"
"Gm45606",0.139483424648291,2.34945099297646,0.913620810743738,0.378707707721424,0.599140974414966,-6.3221763682334,"Gm45606"
"Fam168b",0.0754418566584159,6.50092869067985,0.913568360510205,0.378734194397261,0.599140974414966,-6.32222420519254,"Fam168b"
"Slc16a4",0.149003539472178,0.727307730815473,0.913263960668618,0.378887937677189,0.599313680805772,-6.32250178431833,"Slc16a4"
"D330050I16Rik",-0.211694803857216,0.321446908168618,-0.913026183922461,0.379008061735857,0.599313680805772,-6.32271855456167,"D330050I16Rik"
"Disp1",-0.113069962069571,2.86856031647555,-0.912970644786034,0.379036123737265,0.599313680805772,-6.32276917999422,"Disp1"
"Plch1",0.173510682990976,4.82664435068837,0.912952940599559,0.379045069352233,0.599313680805772,-6.32278531727851,"Plch1"
"Morc3",0.0883584568909725,4.90488462284756,0.91293917056649,0.379052027209723,0.599313680805772,-6.32279786841197,"Morc3"
"1810059H22Rik",-0.19422369775775,0.807758399642634,-0.912788985396061,0.379127919999382,0.59936768594354,-6.3229347487597,"1810059H22Rik"
"Trappc1",0.0814340776244578,4.92449736042371,0.912585315474892,0.379230856973799,0.599400856041782,-6.32312034438319,"Trappc1"
"Zbtb37",-0.220616729917353,2.69108001373596,-0.912514332058352,0.379266737312389,0.599400856041782,-6.32318502004727,"Zbtb37"
"Defa17",0.193638826781585,9.59430637268203,0.912489586098988,0.379279246328244,0.599400856041782,-6.32320756599418,"Defa17"
"Rps9",0.0822225673855392,8.83410442708461,0.912415788151159,0.379316552691133,0.599400856041782,-6.32327479985837,"Rps9"
"2210016L21Rik",0.0717705899016128,4.64903399527937,0.912303940048363,0.379373099031575,0.599400856041782,-6.32337669042544,"2210016L21Rik"
"Arhgef40",-0.148141307819077,1.10857213197229,-0.9122520589239,0.379399330229079,0.599400856041782,-6.32342394902423,"Arhgef40"
"Alad",0.112010523592837,5.55461225028971,0.912138663869594,0.379456667367385,0.599425497751955,-6.32352723262072,"Alad"
